PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40595553,Engineering STING Nanoadjuvants for spatiotemporally-tailored innate immunity stimulation and cancer vaccination therapy.,2025,,"State Key Laboratory of Chemical Biology & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Chemical Biology & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Chemical Biology & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Chemical Biology & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; State Key Laboratory of Chemical Biology & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China.; The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou, 350025, China.; The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou, 350025, China.; State Key Laboratory of Chemical Biology & Center of Pharmaceutics, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, 201203, China. hjyu@simm.ac.cn.",N/A
40595543,Immunomics-guided biomarker discovery for human liver fluke infection and infection-associated cholangiocarcinoma.,2025,Sotillo,,N/A
40594568,General practitioners' recommendation of HPV vaccination to adolescents aged 11-14 may be gender-biased as suggested by a qualitative study in France.,2025,Gil Sánchez; Bauquier; Bujon; Préau; Villain,,N/A
40594174,HPV transmission and optimal control of cervical cancer in China.,2025,,,N/A
40593150,"HPV cancer burden by anatomical site, country, and region in 2022.",2025,,"Department of Emergency Medicine, The Third People's Hospital of Hubei Province, Wuhan, 430000, People's Republic of China.; Department of Pharmacy, Renmin Hospital, Hubei University of Medicine, Shiyan, 442000, Hubei, People's Republic of China. 13247262623@163.com.",N/A
40592753,Perceptions of human papillomavirus vaccination among adolescent boys and their parents in high-income countries: a scoping review protocol.,2025,,,N/A
40592462,Advantages of using complement components in preventive and therapeutic vaccine strategies for infectious and non-infectious diseases.,2025,,,N/A
40592415,In situ antigen-capture strategies for enhancing dendritic cell-mediated anti-tumor immunity.,2025,,,N/A
40591599,FcγRIIIa is a noncanonical costimulatory molecule for CD8 T cells.,2025,Cantaert,,N/A
40591105,"Awareness, Attitudes, and Practice Related to Herpes Zoster and its Vaccines among Patients with Malignant Cancers: A Multi-Center Cross-Sectional Study in China.",2025,,,N/A
40590686,Feasibility of First-Void Urinary and Vaginal Self-Sampling for High-Risk Human Papillomavirus Testing Among Women Living With Human Immunodeficiency Virus in Guinea-Bissau-A Multicenter Cross-Sectional Study.,2025,Madsen; Medina; Hønge; Jespersen,,N/A
40590561,COVID-19 Risk in Patients with Autoimmune Diseases Using Biologics or Small Molecules: A Population-Based Cohort Study.,2025,,,N/A
40590373,Design of Pay-for-Performance Programs Affects Clinical Staff Perceptions of HPV Vaccine Incentives: Evidence from a US Survey.,2025,,,N/A
40590260,Developing the next-generation of adenoviral vector vaccines.,2025,,,N/A
